COLLISION_ID,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
3521651,1,0,0,0,0,0,1,0
4047711,0,0,0,0,0,0,0,0
4514241,0,0,0,0,0,0,0,0
4456845,1,0,1,0,0,0,0,0
3536484,0,0,0,0,0,0,0,0
1004168,1,0,0,0,0,0,1,0
3521309,0,0,0,0,0,0,0,0
4061167,0,0,0,0,0,0,0,0
4456672,0,0,0,0,0,0,0,0
4049426,0,0,0,0,0,0,0,0
4055019,0,0,0,0,0,0,0,0
4052442,1,0,0,0,1,0,0,0
4051357,1,0,1,0,0,0,0,0
4513478,1,0,0,0,0,0,1,0
1003711,0,0,0,0,0,0,0,0
4513663,2,0,2,0,0,0,0,0
4040281,0,0,0,0,0,0,0,0
1005987,0,0,0,0,0,0,0,0
1003624,0,0,0,0,0,0,0,0
4514180,0,0,0,0,0,0,0,0
1013376,1,0,1,0,0,0,0,0
3523444,0,0,0,0,0,0,0,0
4514376,2,0,0,0,0,0,2,0
3528375,0,0,0,0,0,0,0,0
4044236,0,0,0,0,0,0,0,0
4485866,0,0,0,0,0,0,0,0
4055932,1,0,0,0,0,0,1,0
3524947,0,0,0,0,0,0,0,0
3535156,3,0,0,0,1,0,2,0
4043568,0,0,0,0,0,0,0,0
3534946,0,0,0,0,0,0,0,0
1004966,0,0,0,0,0,0,0,0
4049875,0,0,0,0,0,0,0,0
4043102,0,0,0,0,0,0,0,0
4055989,0,0,0,0,0,0,0,0
4456970,0,0,0,0,0,0,0,0
4045092,0,0,0,0,0,0,0,0
3524088,0,0,0,0,0,0,0,0
3533350,0,0,0,0,0,0,0,0
4047302,1,0,0,0,0,0,1,0
4513923,0,0,0,0,0,0,0,0
4514075,2,0,0,0,0,0,2,0
4052536,2,0,0,0,0,0,2,0
4055831,0,0,0,0,0,0,0,0
4456718,0,0,0,0,0,0,0,0
4513878,0,0,0,0,0,0,0,0
4048935,0,0,0,0,0,0,0,0
4513626,1,0,0,0,0,0,1,0
4514237,1,0,0,0,0,0,1,0
4049301,0,0,0,0,0,0,0,0
3529909,0,0,0,0,0,0,0,0
1010247,0,0,0,0,0,0,0,0
2829717,0,0,0,0,0,0,0,0
3522421,0,0,0,0,0,0,0,0
1002882,0,0,0,0,0,0,0,0
4514201,0,0,0,0,0,0,0,0
4054495,0,0,0,0,0,0,0,0
4513708,0,0,0,0,0,0,0,0
4513697,0,0,0,0,0,0,0,0
1004146,0,0,0,0,0,0,0,0
1003867,1,0,1,0,0,0,0,0
1006493,0,0,0,0,0,0,0,0
1011692,1,0,0,0,0,0,1,0
3529376,0,0,0,0,0,0,0,0
3526921,0,0,0,0,0,0,0,0
3533924,0,0,0,0,0,0,0,0
4513772,1,0,1,0,0,0,0,0
1007762,0,0,0,0,0,0,0,0
4485333,0,0,0,0,0,0,0,0
2879942,0,0,0,0,0,0,0,0
3527850,0,0,0,0,0,0,0,0
4513857,0,0,0,0,0,0,0,0
4048453,0,0,0,0,0,0,0,0
1004090,0,0,0,0,0,0,0,0
